"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","77","Users API","PUT /users/:id — Atualizar usuário","","","","Validar atualização do primeiro nome de usuário existente",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","107","Users API","POST /users/add — Criar usuário","","","","Validar que o ID retornado na criação é um número positivo válido",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","44","Users API","GET /users/search — Buscar por query string","","","","Validar busca de usuários por nome retorna resultados",""
"passed","Wed Apr 01 18:54:58 UTC 2026","Wed Apr 01 18:54:58 UTC 2026","45","Users API","DELETE /users/:id — Remover usuário","","","","Verificar retorno 404 ao deletar usuário com ID inexistente",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","56","Users API","PUT /users/:id — Atualizar usuário","","","","Validar atualização de múltiplos campos simultaneamente",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","45","Users API","GET /users/:id — Buscar por ID","","","","Validar busca de usuário existente pelo ID",""
"passed","Wed Apr 01 18:54:56 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","56","Users API","GET /users — Listar usuários","","","","Validar retorno de lista de usuários com status 200",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","38","Users API","PUT /users/:id — Atualizar usuário","","","","Verificar retorno 404 ao atualizar usuário com ID inexistente",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","45","Users API","GET /users — Listar usuários","","","","Validar regra do parâmetro limit na listagem de usuários",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:58 UTC 2026","47","Users API","DELETE /users/:id — Remover usuário","","","","Verificar retorno do objeto deletado com flag isDeleted",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","43","Users API","DELETE /users/:id — Remover usuário","","","","Validar remoção de usuário existente com status 200",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","44","Users API","GET /users/search — Buscar por query string","","","","Validar busca com termo sem resultados retorna lista vazia",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","153","Users API","POST /users/add — Criar usuário","","","","Validar criação de usuário com payload válido e status 201",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","43","Users API","GET /users — Listar usuários","","","","Validar regra do parâmetro skip na paginação de usuários",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","127","Users API","POST /users/add — Criar usuário","","","","Verificar geração de novo ID ao criar usuário",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","48","Users API","GET /users/:id — Buscar por ID","","","","Verificar presença dos campos obrigatórios no retorno do usuário",""
"passed","Wed Apr 01 18:54:57 UTC 2026","Wed Apr 01 18:54:57 UTC 2026","47","Users API","GET /users/:id — Buscar por ID","","","","Validar status code 404 para um ID inexistente",""
